id_evento,ot_utc,magnitud,tipo_magnitud,fases,rms,azgap,latitud,longitud,profundidad_km,agencia,autor,region
csn_sc62026nnsnb,2026-07-12 11:05:28,2.0,M,13,0.70,193,-20.8451,-69.0944,47.3,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nntbt,2026-07-12 11:22:36,,,7,1.66,332,-17.1430,-88.5382,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Southeast Central Pacific Ocean
csn_sc62026nntby,2026-07-12 11:22:48,2.1,M,8,0.92,165,-29.7535,-71.1270,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Near Coast of Central Chile
csn_sc62026nntwi,2026-07-12 11:46:49,2.2,M,9,0.86,189,-31.5853,-71.2106,151.0,CSN,Caro,Near Coast of Central Chile
csn_sc62026nnuel,2026-07-12 11:56:03,2.5,MLv,21,0.24,201,-29.9086,-71.6834,32.1,CSN,Caro,Near Coast of Central Chile
csn_sc62026nnuik,2026-07-12 12:00:40,1.9,M,10,0.44,157,-20.3661,-69.2547,52.9,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nnuoc,2026-07-12 12:07:15,3.0,M,17,0.50,229,-16.5544,-71.7755,105.2,CSN,Caro,Southern Peru
csn_sc62026nnurw,2026-07-12 12:11:40,2.9,MLv,25,0.45,133,-21.1165,-68.9383,108.7,CSN,Caro,Chile-Bolivia Border Region
csn_sc62026nnvbq,2026-07-12 12:23:01,3.9,MLv,62,0.36,101,-32.1135,-71.1377,67.3,CSN,Caro,Near Coast of Central Chile
csn_sc62026nnvpt,2026-07-12 12:39:32,,,8,0.82,321,-27.0573,-91.2470,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Southeast Central Pacific Ocean
csn_sc62026nnvtd,2026-07-12 12:43:34,2.8,M,29,0.28,166,-32.2510,-71.4881,49.6,CSN,Caro,Near Coast of Central Chile
csn_sc62026nnwcw,2026-07-12 12:54:58,3.3,MLv,15,0.30,303,-23.9410,-67.2327,226.1,CSN,Caro,Chile-Argentina Border Region
csn_sc62026nnwfu,2026-07-12 12:58:11,3.6,M,33,0.45,197,-28.7730,-69.2153,158.1,CSN,scautoloc2@prod-pub-seiscomp6,Chile-Argentina Border Region
csn_sc62026nnwrp,2026-07-12 13:12:15,3.1,MLv,53,0.21,202,-32.6631,-69.9663,113.4,CSN,tark,"Mendoza Province, Argentina"
csn_sc62026nnwpr,2026-07-12 13:12:15,3.1,MLv,21,0.22,254,-32.6241,-69.9173,109.1,CSN,tark,"Mendoza Province, Argentina"
csn_sc62026nnwta,2026-07-12 13:13:38,3.1,MLv,13,0.32,323,-24.0370,-67.3387,215.3,CSN,tark,Chile-Argentina Border Region
csn_sc62026nnxki,2026-07-12 13:33:49,2.2,M,9,0.51,226,-20.3965,-69.0241,76.5,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nnxyg,2026-07-12 13:50:00,,,16,1.27,346,-40.5336,-77.2753,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Off Coast of Southern Chile
csn_sc62026nnybw,2026-07-12 13:54:16,2.5,MLv,21,0.26,85,-22.0359,-69.8060,66.1,CSN,tark,Northern Chile
csn_sc62026nnygj,2026-07-12 13:59:31,2.3,M,8,0.64,87,-20.2012,-69.3438,103.8,CSN,scautoloc2@prod-pub-seiscomp6,Northern Chile
csn_sc62026nnyyn,2026-07-12 14:20:38,2.4,M,12,0.36,213,-20.8087,-68.9339,95.7,CSN,tark,Chile-Bolivia Border Region
csn_sc62026nnzfn,2026-07-12 14:29:14,,,14,1.15,333,0.6972,-67.6611,10.0,CSN,scautoloc2@prod-pub-seiscomp6,Western Brazil
csn_sc62026nnzml,2026-07-12 14:36:47,2.1,M,36,0.32,214,-32.6132,-71.7966,26.4,CSN,cris,Near Coast of Central Chile
csn_sc62026nnzql,2026-07-12 14:41:33,2.6,MLv,18,0.32,160,-35.5123,-71.3481,93.0,CSN,tark,Central Chile
csn_sc62026nnzsn,2026-07-12 14:44:00,2.1,MLv,7,0.22,220,-24.6188,-69.1974,93.0,CSN,tark,Northern Chile
csn_sc62026nnzuq,2026-07-12 14:46:28,2.3,MLv,23,0.31,206,-21.5868,-70.4012,20.0,CSN,tark,Near Coast of Northern Chile
csn_sc62026noagp,2026-07-12 15:00:25,2.0,M,9,0.77,107,-21.4707,-68.9075,36.9,CSN,scautoloc2@prod-pub-seiscomp6,Chile-Bolivia Border Region
csn_sc62026noasq,2026-07-12 15:14:26,2.4,MLv,12,0.38,261,-22.5175,-67.8934,164.9,CSN,tark,Chile-Bolivia Border Region
csn_sc62026noavg,2026-07-12 15:17:29,1.8,MLv,35,0.27,56,-33.5709,-70.5689,78.6,CSN,tark,Chile-Argentina Border Region
