time,latitude,longitude,depth [km],magnitude,magnitude_type,region_name,felt
2026-06-03T21:50:33Z,-33.91, -72.08,  23.5, 3.3,MLv,23.77 km al O de Navidad,f
2026-06-03T22:21:46Z,-33.92, -72.02,  23.5, 2.9,MLv,17.8 km al O de Navidad,f
2026-06-03T22:39:28Z,-33.91, -72.13,  26.0, 3.3,MLv,27.99 km al O de Navidad,f
2026-06-01T16:30:22Z,-28.40, -70.94,  53.0, 3.1,MLv,26.01 km al NO de Vallenar,f
2026-06-01T18:07:48Z,-21.54, -69.54,  97.5, 3.3,MLv,13.66 km al N de Quillagua,f
2026-06-01T20:20:13Z,-32.79, -71.75,  29.1, 3.4,MLv,21.49 km al O de Quintero,f
2026-06-02T00:51:51Z,-20.50, -69.07,  96.6, 2.5,MLv,26.65 km al E de Pica,f
2026-06-02T01:25:08Z,-32.76, -71.84,  25.8, 3.4,MLv,29.91 km al O de Quintero,f
2026-06-02T04:27:54Z,-33.66, -71.12,  69.5, 2.8,MLv,9.5 km al E de Melipilla,f
2026-06-02T10:37:53Z,-30.90, -71.65,   7.6, 2.5,MLv,26.55 km al S de Parque Fray Jorge,f
2026-06-02T17:32:35Z,-22.40, -68.86, 118.3, 2.6,MLv,10.5 km al NE de Calama,f
2026-06-02T18:09:08Z,-22.91, -67.89, 181.8, 3.0,MLv,31.98 km al E de San Pedro de Atacama,f
2026-06-02T18:14:37Z,-18.03, -69.36, 151.7, 2.9,MLv,27.9 km al NE de Putre,f
2026-06-02T19:52:46Z,-32.75, -71.68,  30.6, 2.9,MLv,15.07 km al O de Quintero,f
2026-06-02T19:46:11Z,-37.77, -74.84,  10.0, 3.0,ML,105.9 km al O de Lebu,f
2026-06-02T20:02:20Z,-32.81, -71.78,  29.1, 2.7,MLv,24.03 km al O de Quintero,f
2026-06-02T20:12:25Z,-31.21, -71.72,  25.1, 2.5,MLv,32.08 km al NO de Canela Baja,f
2026-06-02T22:00:22Z,-33.90, -70.50,  99.5, 3.0,MLv,32.38 km al SO de San José de Maipo,f
2026-06-03T00:58:14Z,-30.79, -71.58,  18.6, 2.6,MLv,17.34 km al SE de Parque Fray Jorge,f
2026-06-03T01:40:52Z,-32.76, -71.71,  27.5, 3.3,MLv,17.78 km al O de Quintero,f
2026-06-03T01:43:16Z,-20.70, -69.34, 103.9, 3.0,MLv,22.99 km al S de Pica,f
2026-06-03T03:17:00Z,-29.18, -70.01, 115.7, 2.6,MLv,65.87 km al SE de Alto del Carmen,f
2026-06-03T22:52:31Z,-33.90, -72.07,  21.1, 3.0,MLv,23.16 km al O de Navidad,f
2026-06-03T22:56:40Z,-33.90, -72.12,  27.3, 3.8,MLv,27.4 km al O de Navidad,f
2026-06-04T00:45:45Z,-21.72, -70.27,  29.8, 2.5,MLv,42.43 km al N de Tocopilla,f
2026-06-03T04:32:25Z,-32.59, -70.46,  86.2, 2.8,MLv,30.25 km al NE de Los Andes,f
2026-06-02T20:24:13Z,-20.03, -70.33,  44.6, 3.4,MLv,27.37 km al NO de Iquique,f
2026-06-03T06:06:11Z,-24.00, -67.09, 198.0, 3.8,MLv,81.76 km al O de San Antonio de los Cobres,f
2026-06-03T06:47:38Z,-25.90, -70.47,  50.0, 2.6,MLv,52.11 km al N de Chañaral,f
2026-06-03T00:23:18Z,-21.30, -68.55, 132.5, 2.9,MLv,31.89 km al O de Ollagüe,f
2026-06-03T07:31:38Z,-20.73, -69.17, 105.7, 3.1,MLv,31.43 km al SE de Pica,f
2026-06-04T01:40:55Z,-33.85, -72.11,  28.4, 3.3,MLv,28.57 km al O de Navidad,f
2026-06-03T10:50:53Z,-32.77, -71.65,  26.2, 3.1,MLv,11.87 km al O de Quintero,f
2026-06-04T04:22:14Z,-33.87, -72.11,  29.0, 3.1,MLv,27.63 km al O de Navidad,f
2026-06-04T04:23:22Z,-20.32, -70.44,  38.9, 2.9,MLv,32.43 km al O de Iquique,f
2026-06-03T08:18:00Z,-30.12, -71.53,  34.9, 2.7,MLv,15.74 km al N de Tongoy,f
2026-06-03T08:41:13Z,-22.31, -68.70, 104.0, 2.6,MLv,30.05 km al NE de Calama,f
2026-06-03T08:44:18Z,-23.20, -67.06, 237.3, 3.3,MLv,95.77 km al NE de Socaire,f
2026-06-03T11:53:49Z,-32.81, -71.78,  30.3, 3.3,MLv,24.03 km al O de Quintero,f
2026-06-03T09:16:44Z,-33.87, -72.12,  29.2, 3.6,MLv,28.15 km al O de Navidad,f
2026-06-04T05:55:12Z,-30.66, -71.41,  35.7, 2.6,MLv,20.62 km al O de Ovalle,f
2026-06-04T05:58:42Z,-27.31, -71.49,  27.9, 4.2,MLv,71.47 km al O de Caldera,f
2026-06-03T15:05:55Z,-36.70, -71.72,  98.1, 3.3,MLv,21.46 km al SO de San Fabián,f
2026-06-04T06:07:18Z,-21.40, -71.68,  10.0, 3.4,MLv,167.09 km al O de Patache,f
2026-06-03T09:28:34Z,-32.75, -71.71,  31.4, 3.0,MLv,17.46 km al O de Quintero,f
2026-06-03T12:47:10Z,-22.29, -68.74, 101.2, 2.9,MLv,27.77 km al NE de Calama,f
2026-06-04T06:54:52Z,-32.77, -71.82,  28.0, 3.8,MLv,27.94 km al O de Quintero,f
2026-06-03T16:08:02Z,-24.14, -67.10, 176.7, 3.2,MLv,79.71 km al O de San Antonio de los Cobres,f
2026-06-04T08:43:31Z,-21.14, -68.71, 120.3, 3.0,MLv,35.14 km al S de Mina Collahuasi,f
2026-06-03T12:50:56Z,-32.81, -71.77,  28.7, 3.8,MLv,23.47 km al O de Quintero,f
2026-06-03T18:23:06Z,-22.78, -68.83,  80.8, 2.7,MLv,35.72 km al S de Calama,f
2026-06-03T15:03:42Z,-21.13, -68.60, 132.8, 2.5,MLv,34.01 km al S de Mina Collahuasi,f
2026-06-03T17:05:56Z,-22.44, -68.68,  30.2, 2.5,MLv,26.33 km al E de Calama,f
2026-06-04T11:13:52Z,-21.11, -68.56, 131.6, 3.0,MLv,33.37 km al S de Mina Collahuasi,f
2026-06-04T14:28:56Z,-22.40, -68.91, 114.3, 3.2,MLv,7.67 km al N de Calama,f
2026-06-03T19:58:04Z,-33.83, -72.09,  24.7, 2.6,MLv,27.47 km al NO de Navidad,f
2026-06-04T16:52:57Z,-21.38, -71.62,  36.2, 2.8,MLv,160.11 km al O de Patache,f
2026-06-03T20:52:48Z,-21.13, -68.99, 103.0, 3.1,MLv,47.9 km al SO de Mina Collahuasi,f
2026-06-03T20:04:24Z,-28.83, -71.40,  32.3, 3.2,MLv,43.58 km al SO de Huasco,f
2026-06-03T21:18:09Z,-33.85, -72.13,  17.9, 3.4,MLv,29.88 km al O de Navidad,f
2026-06-03T21:34:35Z,-33.85, -72.13,  19.0, 2.8,MLv,29.72 km al O de Navidad,f
2026-06-04T17:19:52Z,-17.43, -69.72, 165.6, 3.1,MLv,31.61 km al NO de Visviri,f
2026-06-04T21:02:08Z,-30.19, -71.84,  50.6, 3.0,MLv,34.47 km al O de Tongoy,f
2026-06-03T20:07:08Z,-24.10, -67.40, 212.2, 3.3,MLv,75.97 km al SE de Socaire,f
2026-06-05T01:48:40Z,-28.45, -70.70,  50.6, 2.6,MLv,14.98 km al NE de Vallenar,f
2026-06-03T22:36:06Z,-33.87, -72.10,  19.8, 4.4,MLv,26.75 km al O de Navidad,t
2026-06-03T23:25:07Z,-33.91, -72.07,  18.0, 3.2,MLv,22.11 km al O de Navidad,f
2026-06-03T22:44:20Z,-33.89, -72.06,  20.5, 2.8,MLv,22.25 km al O de Navidad,f
2026-06-03T22:54:43Z,-33.87, -72.07,  19.7, 4.0,MLv,24.42 km al O de Navidad,t
2026-06-05T02:49:36Z,-22.24, -68.71, 121.3, 2.5,MLv,34.89 km al NE de Calama,f
2026-06-05T04:14:33Z,-30.72, -71.32,  51.7, 3.4,MLv,13.56 km al NO de Punitaqui,f
2026-06-05T04:28:20Z,-22.36, -68.71, 107.6, 2.5,MLv,25.3 km al NE de Calama,f
2026-06-03T23:27:42Z,-33.87, -72.09,  15.3, 2.6,MLv,26.08 km al O de Navidad,f
2026-06-05T04:47:52Z,-23.81, -67.28, 228.2, 3.3,MLv,66.19 km al E de Socaire,f
2026-06-03T23:01:58Z,-20.81, -69.14, 107.8, 2.6,MLv,40.42 km al SE de Pica,f
2026-06-03T23:18:02Z,-28.49, -70.56,  69.3, 2.7,MLv,20.97 km al NE de Vallenar,f
2026-06-03T23:34:30Z,-33.90, -72.07,  16.7, 2.8,MLv,22.38 km al O de Navidad,f
2026-06-04T00:14:46Z,-33.79, -72.13,  26.7, 2.7,MLv,33.09 km al NO de Navidad,f
2026-06-05T04:59:22Z,-28.54, -71.16,  41.6, 2.5,MLv,10.27 km al SE de Huasco,f
2026-06-05T05:32:55Z,-21.93, -67.68, 232.7, 2.9,MLv,98.08 km al SE de Ollagüe,f
2026-06-03T23:39:29Z,-33.90, -72.07,  20.3, 3.0,MLv,22.99 km al O de Navidad,f
2026-06-05T05:38:24Z,-22.36, -68.67, 107.6, 3.7,MLv,29.26 km al NE de Calama,f
